c_last_name,c_first_name,c_salutation,c_preferred_cust_flag,ss_ticket_number,cnt
Sanders,Doris,Mrs.,Y,6394126,5
Sanders,Michael,Dr.,N,3962599,5
Scott,Amy,Dr.,Y,4217013,5
Shaver,Ruby,Mrs.,Y,1068336,5
Simon,Ethel,Miss,Y,10359262,5
Skelton,Lillie,Miss,Y,22301401,5
Smart,Raylene,Dr.,Y,15252139,5
Smith,Ashley,Mrs.,N,8056842,5
Stallworth,Matthew,Mr.,Y,13257513,5
Still,Virginia,Miss,N,732154,5
Stinson,Ron,Sir,N,10078333,5
Sutton,Gerald,Mr.,Y,12469862,5
Sutton,Susan,Mrs.,N,9640828,5
Sutton,Cassandra,Mrs.,Y,8548943,5
Thompson,Lois,Dr.,Y,19629363,5
Thompson,Jay,Mr.,N,19005500,5
Tidwell,,Dr.,Y,18785602,5
Tidwell,Rose,Mrs.,N,11061940,5
Tom,Stephen,Sir,N,21289417,5
Walker,Eloy,Sir,N,20341772,5
Waller,Wm,Dr.,Y,23630144,5
Warren,Ian,Sir,Y,715378,5
Washburn,Juan,Mr.,N,14229239,5
Watkins,Thomas,Dr.,Y,8648427,5
Williamson,Colleen,Ms.,N,6902472,5
Woods,Preston,Mr.,Y,4476611,5
Wright,Eula,Mrs.,N,2757674,5
Wyatt,Kenneth,Mr.,N,9064502,5
Young,Gerda,Mrs.,Y,19956618,5
Zimmerman,Richard,Mr.,N,17216165,5
,,,,1903848,5
,John,,N,17699159,5
,Valerie,Miss,,3085195,5
,,Dr.,Y,11503971,5
Begley,Buster,Sir,N,16653927,4
Cutler,Hugh,Mr.,N,22879575,4
Durkin,Dennis,Mr.,Y,5841877,4
Hall,Eric,Mr.,Y,17377340,4
Lovett,Todd,Mr.,Y,113766,4
Sharp,Gary,Dr.,N,16361198,4
Simmons,Penny,Dr.,N,7560009,4
Thompson,Nicholas,Dr.,Y,18907697,4
,Maxine,,,7866117,4
