i_category,i_class,i_brand,i_product_name,d_year,d_qoy,d_moy,s_store_id,sumsales,rk
Books,reference,brandmaxi #9,,,,,,56546121.019999996,97
Books,reference,,,,,,,642006466.7599996,5
Books,romance,namelessmaxi #12,,,,,,113858395.93999998,29
Books,romance,namelessmaxi #2,,,,,,97262221.74,62
Books,romance,namelessmaxi #3,,,,,,66525478.379999965,83
Books,romance,namelessmaxi #6,,,,,,100524866.82,55
Books,romance,namelessmaxi #8,,,,,,90652130.15999998,77
Books,romance,namelessmaxi #9,,,,,,56887442.14,95
Books,romance,,,,,,,619329306.2600001,11
Books,science,maximaxi #12,,,,,,85716360.25999998,79
Books,science,maximaxi #2,,,,,,111347472.10000004,33
Books,science,maximaxi #3,,,,,,60854655.33999999,91
Books,science,maximaxi #6,,,,,,104467959.50000001,46
Books,science,maximaxi #8,,,,,,91553568.07999998,74
Books,science,maximaxi #9,,,,,,59980658.84000002,93
Books,science,,,,,,,605346099.34,15
Books,self-help,exportiunivamalg #12,,,,,,105955293.29,42
Books,self-help,exportiunivamalg #2,,,,,,96370285.57000001,64
Books,self-help,exportiunivamalg #3,,,,,,57185673.52999999,94
Books,self-help,exportiunivamalg #6,,,,,,100299196.62,56
Books,self-help,exportiunivamalg #8,,,,,,90174298.89999999,78
Books,self-help,exportiunivamalg #9,,,,,,71735493.79,82
Books,self-help,,,,,,,606581202.4799999,14
Books,sports,edu packunivamalg #12,,,,,,112584520.58,31
Books,sports,edu packunivamalg #2,,,,,,108619375.28000002,37
Books,sports,edu packunivamalg #6,,,,,,120244682.86000001,23
Books,sports,edu packunivamalg #8,,,,,,107136371.78,40
Books,sports,,,,,,,638126027.4100002,6
Books,travel,univunivamalg #12,,,,,,91210898.53999996,75
Books,travel,univunivamalg #2,,,,,,99184694.49,59
Books,travel,univunivamalg #6,,,,,,109790067.73,35
Books,travel,univunivamalg #8,,,,,,118774485.26999998,25
Books,travel,univunivamalg #9,,,,,,62722634.22000003,90
Books,travel,,,,,,,626471545.2100002,7
Books,,,,,,,,9999582059.57001,1
