c_last_name,c_first_name,ca_city,bought_city,ss_ticket_number,amt,profit
Aaron,Natalie,Greenville,Riverdale,22979474,3477.09,-14922.20
Aaron,Neil,Greenfield,Concord,20623937,328.07,4570.27
Aaron,Neil,Greenfield,Shiloh,16184846,247.37,-1382.16
Aaron,Rachel,Riverview,Oak Hill,8792253,6583.72,-17512.34
Aaron,Robert,Unionville,Jamestown,12479410,0.00,-5356.46
Aaron,Rose,Mount Olive,Ashland,21657583,597.26,-3748.82
Aaron,Roy,Valley View,Shady Grove,10246819,1579.63,-7347.99
Aaron,Russell,Sulphur Springs,Valley View,1161271,2823.02,-10642.12
Aaron,Russell,Sulphur Springs,Watkins,594829,5981.18,-14974.39
Aaron,Ruth,Oak Ridge,Greenfield,11301743,162.53,-9725.87
Aaron,Shawna,Woodville,Spring Hill,3782997,0.00,-7442.30
Aaron,Thomas,Franklin,Bethel,6723431,4153.45,-16511.47
Aaron,Thomas,Franklin,White Oak,7113343,308.44,-15932.42
Aaron,,Newtown,Midway,11248293,250.42,-6978.38
Abbott,Allen,Oak Grove,Brownsville,12904619,923.35,-12494.49
Abbott,Allen,Oak Grove,Greenville,8021308,2599.50,-2673.94
Abbott,Andres,Whitney,Highland Park,10258511,1.93,-4505.44
Abbott,Andres,Whitney,Oakdale,13233779,3517.81,-10598.21
Abbott,Ann,Marion,Stringtown,10133447,0.00,-2385.08
Abbott,Anthony,Bridgeport,Providence,20416861,6217.09,-12867.96
Abbott,Ashley,Spring Hill,Maple Grove,2336470,0.00,-8714.43
Abbott,Aurea,Marion,Oak Ridge,14695685,243.22,-9667.00
Abbott,Autumn,Brentwood,Marion,16628991,554.36,-10047.30
Abbott,Benjamin,Glenwood,Marion,516937,0.00,-8465.44
Abbott,Bernard,Shiloh,Lakeside,19798494,2962.91,-7276.66
Abbott,Bernard,Shiloh,Summit,5551046,0.00,-6642.83
Abbott,Brian,Ashland,Greenfield,23222228,0.00,-6586.09
Abbott,Brian,Glendale,Shady Grove,8213523,975.06,-7924.46
Abbott,Brian,Harmony,Pine Grove,19797598,4559.27,-7630.58
Abbott,Brian,Lebanon,Macedonia,10354172,2880.53,-20812.79
Abbott,Brian,Plainview,Macedonia,7677361,104.52,-13925.33
Abbott,Brianna,Pleasant Hill,Clinton,19718721,3195.66,-10527.99
Abbott,Bryan,River Oaks,Green Acres,11269042,2257.92,-14885.74
Abbott,Camille,Riverview,Shiloh,16195134,410.20,-16878.81
Abbott,Carl,Oakwood,Brownsville,14713467,4346.82,-13014.77
Abbott,Charles,Newport,Oak Ridge,3183113,1196.64,-7894.02
Abbott,Chester,Glenwood,Belmont,9595406,2864.36,-15527.66
Abbott,Chris,Red Bank,Shiloh,23075493,0.00,-13272.97
Abbott,Christopher,Georgetown,Highland Park,16227564,4445.05,-5013.51
Abbott,David,Proctor,Plainview,2291091,915.83,-8591.24
Abbott,David,Walnut Grove,Franklin,2235597,7774.97,-5999.78
Abbott,Dennis,Valley View,Buena Vista,3937386,2698.25,-7617.96
Abbott,Dolores,Enterprise,Lakewood,19243322,0.00,-5314.79
Abbott,Duane,Waterloo,Stringtown,4219280,94.45,-2822.05
Abbott,Edna,Salem,Fairview,17125810,1537.29,-2483.57
Abbott,Eduardo,Woodville,Centerville,15876054,545.60,-15530.60
Abbott,Edwin,Georgetown,Highland,13541451,0.00,-854.59
Abbott,Elizabeth,Lebanon,Woodlawn,17862618,2549.26,-451.57
Abbott,Emil,Mount Vernon,Leesville,14765029,917.41,-6030.38
Abbott,Erich,White Oak,Bridgeport,8464866,1264.80,-6543.27
Abbott,Esther,Glenwood,Pleasant Grove,19172302,1845.17,-8356.78
Abbott,Eugene,Springdale,Bunker Hill,11163180,1367.17,-3676.22
Abbott,Eugene,Unionville,Jackson,17768624,880.82,-5413.42
Abbott,Fernanda,Macedonia,Springdale,19628727,2579.63,-6857.96
Abbott,Florence,Florence,Woodland,14329487,2493.34,-10201.89
Abbott,Frederick,Greenville,Lebanon,3155850,202.55,-7069.21
Abbott,Frederick,Greenville,Mount Vernon,20049179,482.26,-7731.70
Abbott,Georgette,Oakwood,Liberty,2820998,0.00,-628.89
Abbott,Gwendolyn,Barnes,Buena Vista,9098803,2741.53,-14414.96
Abbott,Heather,Liberty,Mount Zion,22213782,611.21,-17237.77
Abbott,Henry,Highland Park,Mount Zion,9623562,0.00,5756.71
Abbott,James,Riverside,White Oak,16804453,1748.97,-4266.17
Abbott,James,Sunnyside,Greenville,8358454,711.40,-15105.76
Abbott,Jane,Hillcrest,Farmington,2944748,1585.08,-7542.27
Abbott,Jeffrey,Centerville,Oakwood,14559858,1488.92,-14469.16
Abbott,Jessica,Farmington,Marion,1136116,974.45,-8713.77
Abbott,Jesus,Deerfield,Newport,275634,778.21,-7357.63
Abbott,Jimmy,Jamestown,Spring Valley,6873377,3667.04,-9505.10
Abbott,John,Mount Pleasant,Belmont,6984360,379.60,-5370.98
Abbott,Joseph,Sunnyside,Oak Grove,16267159,3763.18,-9310.54
Abbott,June,Hillcrest,Enterprise,16588491,2644.99,-13486.88
Abbott,Karen,Mountain View,Pine Grove,7916822,0.00,-569.61
