c_last_name,c_first_name,ca_city,bought_city,ss_ticket_number,amt,profit
null,null,Antioch,Harmony,15505757,0.00,-13895.35
null,null,Antioch,Harris,1141253,1979.36,-9960.16
null,null,Antioch,Highland,1903765,0.00,-5118.76
null,null,Antioch,Highland Park,8995181,0.02,-15515.56
null,null,Antioch,Highland Park,15423053,463.84,-7275.74
null,null,Antioch,Highland Park,19125148,1250.94,-7611.95
null,null,Antioch,Hillcrest,1230878,1986.98,-4924.92
null,null,Antioch,Hopewell,19497419,3066.64,-9157.23
null,null,Antioch,Hubbard,23115589,583.89,-11664.75
null,null,Antioch,Jamestown,610888,0.00,-8613.97
null,null,Antioch,Liberty,11560459,1681.59,-5686.35
null,null,Antioch,Mount Olive,10538194,2025.95,-3374.38
null,null,Antioch,Mount Vernon,8455956,91.52,-6474.94
null,null,Antioch,Mount Vernon,21604483,0.00,-5894.03
null,null,Antioch,Mount Zion,524132,4.90,-11774.95
null,null,Antioch,New Hope,19336447,992.79,-5228.20
null,null,Antioch,Newport,1490935,1822.80,-7896.92
null,null,Antioch,Newport,4398770,42.00,-3517.62
null,null,Antioch,Newport,20768461,2600.95,-16581.51
null,null,Antioch,Oak Grove,1472235,2369.15,-19459.25
null,null,Antioch,Oak Grove,9734456,197.06,-4942.00
null,null,Antioch,Oak Grove,10079720,2322.23,-3089.66
null,null,Antioch,Oakwood,15384804,0.30,-5485.53
null,null,Antioch,Pine Grove,21682672,888.65,-16378.73
null,null,Antioch,Plainview,12729115,13.88,-4161.69
null,null,Antioch,Riverside,4123428,4839.57,-23581.01
null,null,Antioch,Roscoe,7466561,2076.13,-8994.32
null,null,Antioch,Shiloh,2475870,437.02,-10260.55
null,null,Antioch,Spring Hill,1101402,2648.34,-15389.27
null,null,Antioch,Springfield,16418184,8098.32,-8224.15
null,null,Antioch,Unionville,15125718,828.77,-5843.50
null,null,Antioch,Unionville,20352425,1047.64,-2563.17
null,null,Antioch,Valley View,4167215,307.93,-7434.31
null,null,Antioch,Valley View,6997122,0.00,-15383.86
null,null,Antioch,Waterloo,22298384,1615.82,-11116.45
null,null,Antioch,Woodlawn,19268836,991.73,-12534.07
null,null,Antioch,Woodrow,9989090,215.67,-9267.17
null,null,Antioch,Woodville,7677632,4804.77,-10910.31
null,null,Appleton,Centerville,3338666,9110.67,-22559.79
null,null,Arcola,Farmington,22921301,721.52,-8113.83
null,null,Arcola,Lakewood,3164660,3124.18,-7347.21
null,null,Arcola,Newtown,6833717,280.40,-3522.32
null,null,Arcola,Salem,9906605,202.29,-13297.35
null,null,Arcola,Walnut Grove,3514953,0.00,-11394.36
null,null,Argyle,Buena Vista,14281746,997.42,-3107.96
